word,count
immedi,206
recommend,97
cent,276
integr,114
underus,2
southeastern,9
nasdaq,91
coast,82
penney,8
earlier,577
valu,456
outstand,78
resourc,167
john,268
firm,631
care,115
real,215
deterior,39
peek,2
two,1183
combin,236
margin,196
quickli,129
comput,286
eric,21
problem,446
grow,395
onli,776
get,641
huge,273
midwestern,3
august,233
acquisit,296
confidenti,43
cost,646
nation,622
tender,44
set,661
premium,96
repres,267
half,425
barney,26
follow,470
posit,509
import,382
radio-control,1
fist,2
expect,1356
forc,386
29,74
doe,304
growth,535
11.50,3
rival,357
vehicl,111
associ,270
withdraw,44
3.6,27
go,848
situat,166
still,754
strengthen,103
believ,381
boost,381
calif.,49
hasbro,5
lead,425
1997,499
mattel,6
fee,94
less,339
issu,689
highli,107
effect,332
someth,165
acquir,191
restructur,205
abov,148
enhanc,73
even,527
desir,59
fell,286
anoth,623
look,578
miniatur,2
cover,193
breakdown,10
way,486
friday,580
cleaned-up,2
accomplish,17
bid,374
unsuccess,17
cite,139
ok,4
lot,313
toymak,5
seek,283
part,613
plush,6
jill,5
4.50,4
brand,163
tri,403
leader,376
capitalis,69
mt,1
fragment,23
deep,56
hold,496
point,452
includ,855
interview,442
fisher-pric,2
barbi,3
20,480
revenu,376
long,428
car,129
el,11
product,757
oct.,62
debacl,5
doll,3
worldwid,159
reach,377
amerman,1
smith,66
telephon,319
merger,293
note,301
sesam,2
payabl,13
money-los,17
hot,94
14.,7
1995,502
never,131
well-known,9
biggest,383
earli,576
goal,117
statement,437
fairli,69
29.875,1
widespread,69
cut,450
matchbox,3
categori,62
receiv,293
complet,335
busi,1029
meet,553
aim,333
chairman,641
12.50,4
segundo,1
want,638
competit,463
2,171
gari,33
maker,195
third-rank,3
barad,3
krutick,3
laurel,2
tyco,4
global,231
realis,51
implic,41
anyth,144
40,273
presenc,94
jump,207
pocket,22
turnaround,54
baughman,2
antitrust,31
break-up,21
add,129
discuss,255
within,274
largest,493
think,666
n.j.,18
low,282
10,594
wheel,10
75,123
755,3
specifi,41
save,197
fulli,103
toy,12
easili,64
intern,727
return,389
propos,314
identifi,157
2.8,27
clearli,140
boy,17
culmin,16
effort,208
anticip,94
unwelcom,8
709,1
78,23
lure,35
sept.,40
merchandis,23
ever,127
avail,248
ago,420
tangl,8
hong,364
owner,92
howev,468
inform,285
trim,64
forward,171
servic,636
dickson,5
basi,167
protect,133
sit,71
must,277
sandra,2
held,312
sinc,775
previous,148
1923,2
ltd,279
marcu,3
next,868
gene,8
explor,106
open,473
talent,21
spokesman,414
kong-bas,15
canada,207
prospect,205
life,204
tuesday,679
consid,393
bankruptci,34
partner,289
sector,418
privat,212
may,751
need,604
redbook,4
specul,244
plagu,29
sidelin,22
perform,307
offici,747
plan,1017
shuffl,5
investor,481
rampant,16
spokeswoman,116
nearli,264
help,571
neiman,2
luxuri,29
1,374
join,202
howard,17
pressman,3
file,96
s.,29
japanes,116
concept,32
submit,59
door,107
viabl,20
co,223
reput,51
repeatedli,48
week,822
make,946
fame,12
johnson,23
could,1134
dilig,11
sak,4
announc,674
troubl,101
review,165
januari,235
breath,13
eilenberg,3
found,192
grandson,3
holt,2
okamoto,2
around,642
leadership,94
sternberg,2
well,619
right,473
recapit,2
talk,459
buyer,145
court,244
juli,287
isetan,2
hi,699
inc,275
yasuo,4
arrang,88
weak,180
robert,144
interest,593
renfrew,2
sour,14
turn,307
pay,416
erect,12
argument,46
alreadi,611
consider,91
16-page,3
bought,155
end,950
treat,60
front-end,3
19.9,8
continu,693
befor,745
prohibit,30
contend,41
overse,48
sharheold,4
thursday,559
requir,285
all-cash,8
provis,89
waiver,5
case,281
senior,300
23,107
rest,166
justif,6
report,967
merg,149
transport,166
extra,85
decemb,301
analys,17
east,147
defeat,52
peter,145
press,151
indic,207
vote,176
enter,160
waiv,14
law,317
independ,245
fit,87
time,922
amend,36
two-tier,2
ask,380
conrail,16
schedul,214
and/or,9
assur,74
lock-up,2
norfolk,16
institut,248
cast,37
feder,235
portion,38
belief,28
current,663
thing,304
ns,4
decis,372
disput,138
major,800
pursu,80
adjourn,13
passag,18
becaus,726
request,101
opt,21
client,81
ani,788
made,692
corpor,277
concess,26
csx,17
railroad,17
conrail-csx,12
regulatori,130
barrier,55
back,640
agenc,193
iss,1
8.5,28
corp,461
creat,317
surfac,34
key,421
powerhous,36
present,188
octob,293
gleason,2
payment,130
equal,77
stb,2
deni,114
permit,64
wrote,51
equit,8
money,351
run,412
date,145
best,203
southern,127
load,42
special,200
spend,196
maryland-bas,4
possibl,458
pennsylvania,22
suggest,201
see,626
fair,95
cash,329
hope,423
decid,231
110,28
depend,154
widen,36
themselv,106
medford,2
refer,199
without,303
increasingli,123
stake,308
happen,171
bob,60
wednesday,657
instead,174
constitu,23
got,213
conting,11
gap,58
woo,27
strike,129
richmond,17
candid,111
noth,114
escal,15
dissatisfact,8
ignit,16
96.375,3
9.1,18
war,217
david,196
much,645
urg,126
determin,115
u.s.,872
number,508
launch,328
campaign,172
outcom,51
3.375,3
demonstr,143
give,507
unrest,28
ultim,63
top,452
93,16
marathon,10
unlik,186
96-hour,2
good,588
hostil,73
commit,158
tabl,53
william,88
oppon,29
feel,145
day,585
dole,8
total,559
specif,131
vocal,12
aggress,111
readili,7
superior,16
philadelphia-bas,9
chang,542
battl,160
jeff,19
lose,162
sway,13
amp,487
pressur,265
blair,12
elect,221
mid-decemb,24
blitz,4
speak,110
presidenti,45
remain,582
va.-bas,20
sourc,401
annual,336
seem,177
undertaken,8
dissid,89
shown,61
7.3,14
novemb,274
brew,25
support,335
former,368
settlement,74
nomine,13
vow,61
steven,32
bennett,3
dividend,193
overwhelmingli,8
split,102
1.85,9
contain,109
accord,380
tom,30
solv,46
critic,211
similar,163
spinoff,11
rjr,21
claim,153
maintain,186
g.,10
sort,88
29-1/4,1
told,992
appropri,48
role,187
goldston,2
proxi,21
lebow,2
opportun,261
bottl,16
tap,43
heileman,2
dismiss,84
everybodi,51
understand,97
slate,33
1.50,20
exist,266
littl,337
tobacco,45
secur,547
food,138
expens,127
commiss,270
icahn,4
march,313
rate,475
pepsico,8
rattigan,2
80.5,2
intend,104
leagu,41
news,584
nomin,35
progress,157
spin,25
reuter,703
1/4,13
letter,91
play,200
nabisco,22
tobacoo,1
industry-wid,8
hire,69
control,380
insist,81
sever,453
appear,250
25,262
consult,189
carl,14
whi,104
joint,242
31.5,9
place,369
tosco,2
come,666
qualiti,144
preliminari,43
differ,250
46.5,3
synergi,21
mean,332
texaco,8
target,291
energi,114
ad,995
whether,354
1998.,78
telecommun,177
bound,33
serious,50
asset,342
natur,112
us,465
downstream,7
occur,59
organiz,3
dutch/shel,11
equiti,191
oil,134
thereaft,8
result,647
exceed,74
scour,2
conveni,20
bet,37
shamrock,2
septemb,338
becom,433
approach,143
unoc,4
defens,30
eagerli,6
3,123
bit,130
royal,93
move,639
ultramar,2
certain,134
elsewher,57
second,521
gone,68
roger,18
2.3,32
bolivia,2
shell,15
ventur,239
hemminghau,1
estim,417
shortli,33
flatli,5
ga,78
0.20,13
diamond,23
0.60,5
refin,48
structur,129
compar,382
smaller,159
forget,16
overwhelm,26
highly-frag,1
reason,216
fleet,45
drop,263
soon,206
though,179
4-3/8,3
dispos,70
radio,67
line,443
whole,177
11-3/8,2
far,427
wed,12
porsch,3
pink,1
capit,408
ron,42
thermostat,2
publicly-trad,2
link,233
monitor,54
coattail,2
two-year,27
larg,408
allianc,144
re-establish,10
free,176
instal,64
remot,47
emerg,175
loyalti,38
shop,111
access,215
later,262
1994,171
buyout,19
tradit,159
five,469
power,389
build,408
1988,21
chebra,2
hess,2
panel,86
residenti,33
era,43
dissolv,14
becam,104
utah,11
prefer,110
pacifcorp,2
start,498
prepar,177
confer,303
branch,49
attract,216
12,260
three,818
off-limit,3
creativ,18
alarm,26
carrol,3
subsidiari,134
one-stop,14
serv,171
pacificorp,2
pacif,140
rene,5
western,175
light,115
deregul,50
uncertain,25
beyond,92
instant,12
home,299
unusu,36
yet,291
six,442
quit,193
util,123
purchas,202
solut,65
worth,259
retir,102
separ,168
push,239
done,198
altern,75
ideon,1
russia,97
fill,48
three-man,1
construct,103
british,611
along,200
plc,355
motor,144
advis,99
acknowledg,69
microwav,7
wide,234
chellgren,3
superamerica,2
veteran,59
paul,80
petroleum,49
previou,167
divers,15
wasserstein,4
break,156
document,86
strateg,168
action,226
substanti,131
56,41
16-member,4
meanwhil,99
hall,31
individu,144
slot,37
valero,1
mobil,69
100,292
prime,173
valvolin,2
longtim,7
correctli,1
mull,14
highway,19
chemic,64
fred,26
industrywid,4
30,499
poor,135
combat,34
york-bas,25
stearn,25
threaten,116
kentucky-bas,3
past,352
leuffer,3
jefferi,5
necessari,104
bear,64
ashland,3
dan,87
46,50
perella,3
california,66
lacey,1
coal,14
formal,113
1991,54
replac,195
europ,300
duplex,1
64,26
boston,44
particip,108
name,325
criticis,70
wrest,3
henri,27
gener,649
46.39,1
materi,126
administr,186
felbatol,1
bone,7
medicin,14
3.875,2
sell,462
1929.,1
pass,120
arrid,1
baton,3
ralph,7
son,96
epilepsi,2
respons,209
slim,17
50,339
condom,2
counsel,34
three-paragrpah,1
develop,582
reflect,187
billionair,16
gave,155
spoke,32
secretari,145
disord,4
carter-wallac,1
specialis,44
riverboat,1
82,21
carter,8
physician,7
recognis,57
releas,255
longer,131
confirm,192
marrow,1
furthermor,7
casino,13
t.,23
paramount,36
15.625,2
70-year-old,1
18,143
unrecept,1
mo,3
domin,177
level,493
insid,45
jr.,11
prescrib,2
succeed,73
richard,125
oilman,1
davi,38
rainwat,1
nyse,19
hoyt,1
boon,5
trojan,1
might,316
deodor,1
lo,46
835,1
class,59
famili,169
defenc,112
chanc,132
vice,201
trader,175
act,173
picken,1
via,69
levin,4
condit,220
closely-held,1
reluct,45
stop,155
arbitrag,12
marvin,2
mesa,1
ran,39
boonvil,1
entertain,62
angeles-bas,1
cpi,7
member,326
catherwood,6
lawsuit,65
volatil,66
va.,10
improv,377
victori,57
midnight,86
crucial,83
"50,000",33
awar,55
favour,152
thom,6
motion,19
hear,89
95.10,3
appeal,118
rule,484
withdrew,24
proceed,65
keep,354
lawyer,107
rutherford,6
win,198
upon,43
rush,55
benefit,294
option,156
specialist,56
unchang,95
judg,85
know,218
district,50
advisor,23
oversubscrib,6
guard,30
postpon,28
2.25,12
block,156
sterliz,1
anger,40
prevent,106
convinc,63
unhappi,25
94.625,2
back-end,2
persuad,40
choos,72
guarante,112
measur,180
enough,204
acceler,69
csx-conrail,7
expedit,23
consumm,8
final,262
85.15,3
8.6,18
brown,77
collar,3
exampl,118
carrier,132
full,298
long-haul,5
covet,10
rout,98
solo,2
lufthansa,13
restrict,128
transatlant,15
re-ent,3
usair,10
airway,57
raymond,10
destin,43
passeng,93
extens,68
competitor,154
area,408
struck,42
arlington,3
fli,64
strong,537
amr,13
northwest,24
heathrow,6
passenger-shar,1
frequent,71
hard,189
find,242
oversea,156
feed,59
old,114
selz,6
highest,82
nv,29
duplic,18
airport,84
cost-consci,4
neidl,1
flier,4
european,282
prompt,95
resum,70
ual,6
side,256
london,345
dutch,58
termin,43
citi,260
ag,74
furman,5
card,96
entrench,5
flight,70
ocean,10
offset,81
best-known,6
airlin,125
danc,5
klm,3
short-haul,1
order,271
steltzer,1
deutsch,60
significantli,81
describ,119
1-3/4,4
88-1/4,1
hour,145
92.50,8
ratio,61
inferior,6
throat,10
hammer,30
amid,85
charg,382
94,10
broad,66
1.85619,3
outrag,13
gain,420
compet,180
amount,210
late,377
listen,24
reaffirm,16
tighter,23
lock,46
angri,24
fall,333
7/8,6
three-month,16
cram,6
blast,30
morn,104
rose,340
defend,86
short,159
43,61
night,89
29.25,1
head,358
repeat,87
endang,4
morri,28
damag,131
monin,1
legal,199
team,138
polit,321
favor,40
philip,51
weaker,49
mr.,11
sec,8
cos.,19
withstand,10
attach,19
environ,91
seriou,117
lost,260
attempt,139
scrutini,37
fellow,37
record,344
thoma,49
spin-off,26
reiter,26
nov.,31
assembl,98
size,138
fought,27
newly-expand,1
overcom,23
burden,23
experi,86
string,42
invit,33
host,44
center,41
leverag,19
parti,314
heighten,19
cv,4
coast-bas,3
melvil,1
harriman,12
reaction,53
9,68
attack,98
friendli,25
prudenti,33
appeas,7
toward,206
uncertainti,100
guess,34
afford,54
brian,37
carol,8
csx-norfolk,1
deadlin,62
ahead,331
brother,100
imped,9
match,90
sharp,102
sent,113
neeli,5
vehement,4
twist,14
lack,150
expoert,1
relationship,86
23.,17
land,101
upset,17
likelihood,5
ride,47
rollercoast,4
conflict,49
norfok,1
100-per-shar,2
routledg,5
stick,47
respond,86
account,366
8.4,12
von,13
wave,73
ahold,1
belgian,6
california-bas,11
bank,528
groceri,15
"1,100",6
put,495
came,275
6.25,3
opinion,80
grocer,1
8.56,1
connect,107
financ,327
safeway,5
facil,117
programm,189
65.5,1
fla.-bas,6
remodel,2
kash,1
221,3
borrow,48
n,17
fund,400
supermarket,33
salisburi,1
26,87
n.c.-base,1
karri,1
four,443
massachusetts-bas,2
gobbl,4
51,46
manhattan,4
syndic,23
painewebb,19
lion,19
24,95
flow,112
debt,204
halt,71
150,130
delhaiz,1
florida,45
central,250
credit,193
chase,9
ronald,13
banner,22
tampa,3
behind,216
341,1
enabl,96
hearten,12
1.375,12
natwest,33
93.75,3
consist,80
sought,78
dampen,25
rife,12
anthoni,24
either,130
hatch,9
partli,104
44.50,6
csx/conrail,2
promot,122
drawn-out,2
quicker,10
quell,12
taken,242
willing,20
recov,126
post-merg,3
realiti,35
steep,43
obstacl,47
abandon,31
90.75,2
disclos,54
balanc,162
matter,131
least,332
fire,112
eros,16
22,113
despit,368
50-50,17
8.42,3
drew,33
km,35
cash-and-stock,4
"47,000",4
rich,51
overal,189
mile,54
"29,000",3
commun,411
ice,21
merit,21
prorat,2
--,1270
addit,242
rail,34
stockhold,10
levan,2
snow,9
tremend,39
public-at-larg,2
sheet,61
world,714
cake,11
opposit,144
packag,112
730,5
8.46,2
analysi,31
cancel,63
clifford,4
stat,2
relat,266
stray,5
shift,107
kidney,5
31-7/8,1
outsid,199
sound,71
healthcar,32
logic,30
drive,165
dilut,47
2.5,97
session,84
sharpli,93
perspect,15
medic,53
randal,5
american,309
jeffrey,30
2-5/8,1
bernstein,7
strategi,204
long-term,165
wait-and-se,3
lehman,43
kessler,3
midafternoon,2
room,79
hospit,39
question,257
conceptu,1
c.,7
huyser,2
elicit,1
145,11
diseas,47
wari,15
hewitt,2
staf,13
skeptic,8
divis,196
puzzl,3
sanford,6
attitud,32
accret,8
predict,213
1992,56
slightli,143
ambul,8
direct,209
consecut,27
69,34
1997.,207
sens,84
outpati,2
dialysi,5
intens,71
uneasi,7
ongo,44
scale,80
practic,89
speed,76
mega-corpor,2
hugh,45
cycl,64
intensifi,25
embark,22
jame,97
airplan,19
westinghous,4
quarterdeck,4
dwarf,13
kutler,4
experienc,28
cross-bord,16
today,189
boeing-mcdonnel,6
dramat,97
81-1/8,1
mcdonnel,39
gallagh,2
hill,51
form,281
extrem,81
lockhe,16
king,47
pace,79
dougla,51
truce,4
13.9,5
1996.,134
player,160
seller,41
globe,16
dimens,4
deloitt,11
northrop,5
builder,7
loral,3
cibc,14
transform,69
electron,181
woodi,3
grumman,5
eight,214
martin,93
primarili,44
trigger,46
resurg,10
1996,498
properti,140
sudden,35
sunday,192
surviv,63
broken,54
jon,17
cantafio,2
aerospac,51
slow,155
vital,57
well-posit,4
activit,2
gundi,17
touch,71
stage,191
toni,23
electr,127
raytheon,7
boe,74
boom,81
diminish,16
activ,379
establish,153
schwending,2
argu,127
stephen,78
typic,64
400,124
greater,104
three-year-old,5
finalis,36
glenn,2
simultan,16
jenrett,12
higgin,4
stress,79
partnership,81
suit,81
fierc,49
samuel,8
refus,104
cargo,84
tie,154
surpris,161
buttrick,2
goldman,32
cooper,158
futur,517
airways-american,1
so-cal,115
engel,2
24.6,9
sue,13
code-shar,6
lufkin,12
donaldson,13
pump,25
britain,390
desper,18
healthier,6
sky,30
sach,30
mystifi,2
difficult,206
oppos,114
su,22
await,48
dozen,55
1993,117
trans-atlant,7
certainli,126
rocki,10
wolf,6
reduc,226
closer,54
aviat,49
usual,101
virginia-bas,9
unleash,22
placement,21
period,293
congress,98
fluctuat,17
eager,41
sick,9
impress,55
pricey,3
hard-press,4
game,101
soar,111
11-1/4,1
corneliu,1
3.9,14
govern,812
one-two-thre,1
startl,8
santa,25
northern,117
clean,40
knockout,2
valuabl,30
sewel,1
rumor,26
burlington,4
subject,95
author,297
bankrupt,18
punch,2
aggrees,1
1976,4
limit,231
1995.,178
factor,142
away,179
fe,6
trust,81
versu,47
96.,2
entiti,29
risk,145
stay,144
1980,120
high,554
research,274
cheap,56
northeast,25
stronger,114
convert,62
4,95
"12,000",24
sceptic,43
fix,119
colo.-bas,4
one-quart,9
evolv,17
gear,60
87.5,12
outlook,116
30.50,5
houston-bas,7
aurora,1
7.375,1
castel,2
5,105
19.125,1
huizenga,7
wayn,36
articl,47
robertson,23
solid,57
post,318
andrew,45
blockbust,14
ltd.,163
boca,6
founder,57
19,88
newspap,228
wast,42
25.125,1
23.1,1
kill,71
basebal,15
raton,5
footbal,23
adt,5
62.5,10
dolphin,5
unnam,16
marlin,4
panther,4
profession,36
cloud,45
26.125,1
use,756
businessman,39
republ,69
sport,85
hockey,8
dead,27
florida-bas,2
promptli,10
infuri,7
parent,94
undermin,31
airways-amr,1
massiv,86
retain,84
program,111
va-bas,2
usair-british,1
challeng,152
promis,177
donald,27
full-pag,7
fiduciari,6
attent,91
courtroom,9
contract,248
ignor,47
philadelphia,4
advertis,91
rebuf,10
dangl,2
probabl,231
iron-clad,1
wait,151
van,14
accus,120
journal,30
front,88
artsdalen,1
sweeter,4
chees,2
beef,25
skip,4
1998,165
cost-cut,32
restaur,32
steam,17
rumbl,2
kraft,7
1-3/8,3
coffe,34
breakfast,6
snack,2
indecis,3
cereal,23
eventu,118
underscor,12
heavili,89
cigarett,28
astound,2
frito-lay,1
exit,29
1-1/8,9
polici,270
500,118
30-1/2,4
carpent,7
80,150
dine,5
pick,105
frappucino,1
romm,3
meantim,17
quarter,402
97.,2
cold,41
focu,197
pepsico-starbuck,1
starbuck,2
beverag,28
shoulder,19
pour,29
marlboro,7
farfetch,1
pull,86
1999.,30
deliv,125
proce,23
cs,15
pricetag,1
third,375
casual,5
inde,36
complaint,23
holder,42
heard,48
wheat,23
angrili,4
8.463,1
singer,5
histor,71
wendesday,2
contribut,133
johansen,1
butch,1
87-1/8,1
react,41
illeg,58
grasp,9
railraod,1
8.418,1
nine,211
solitari,1
third-plac,1
fuel,96
ground,133
crowd,39
face,332
workforc,49
item,78
geograph,27
carri,226
april,183
costli,47
250,62
21-3/8,2
sweep,30
lean,5
vineberg,1
vari,33
realm,9
ineffici,20
joseph,40
sophist,47
entir,101
23.32,1
thirfti,1
grass,4
feverish,1
cream,12
lynch,56
essenti,68
plant,212
alabama,2
swiftli,5
public,392
address,104
elimin,95
guy,41
merril,50
upgrad,93
already-pow,1
33-7/8,2
shoe,22
27,91
mo.-bas,4
kansa,13
3.125,4
368,4
firmli,31
22.50,1
lay,44
mere,24
shareown,1
3.5,43
resolv,97
plate,4
rang,286
1.9,34
appreci,27
31.375,1
phone,134
employe,151
climb,96
low-bal,1
respect,117
groundwork,14
michael,154
rosario,1
ashcroft,1
compel,21
deliber,20
menu,7
kan.-bas,3
rothschild,7
20.125,1
7.50,5
grown,54
ilacqua,1
directli,87
salvo,4
hay,7
dave,4
topeka,3
23.25,1
spent,89
wittig,5
1.125,11
92.25,1
44.625,1
correct,69
1.625,7
90.50,1
dean,38
prove,93
watch,97
erod,28
core,122
non-cor,15
genuin,19
thalmann,1
timefram,7
herbert,5
abil,109
stand,141
sahgal,1
prosper,23
implement,97
evolutionari,2
seri,129
falvey,3
46-5/8,1
three-person,2
quicker-than-expect,2
425,5
evalu,31
ladenburg,1
tomorrow,28
sincer,11
denton,2
show,489
risen,62
defin,44
buyback,33
barri,22
unveil,155
quash,3
restuctur,2
450,34
sa,77
abound,9
10.1,6
obvious,60
cgip,2
longterm,1
1986,18
franc,197
seal,20
560.6,1
affect,197
seventi,2
cyclic,25
carlo,22
21,117
apart,44
finac,1
french,155
crown,102
partial,39
28,98
600,66
valeo,2
ceru,2
prey,7
negoti,246
near,156
de,128
ernest-antoin,2
cork,2
1993.,23
autmot,1
piec,44
momentum,49
economi,244
seillier,2
benedetti,2
regard,112
automot,48
italian,19
80.50,1
auton,8
inventori,36
auto-auct,1
montgomeri,24
supplier,112
fast-grow,36
travel,83
countri,511
dedic,17
warehous,32
superstor,12
setback,26
auto,99
prais,37
2.875,1
virtual,87
suffer,139
hotel,60
marketplac,48
flurri,22
estat,76
42,58
second-largest,34
everi,192
root,9
like-new,1
fourth-largest,6
ford,93
33.625,1
standpoint,8
budget,111
95,96
inabl,11
decad,139
hymowitz,3
manufactur,173
rental,30
leas,69
carchoic,1
rent-a-car,6
uniqu,24
alamo-rent-a-car,1
avi,5
everyth,87
4.3,15
plu,84
chrysler,74
automobil,16
supplement,7
leisur,39
alamo,6
800,44
pool,18
entrepreneur,28
innov,38
segment,45
"130,000",7
hf,4
usa,18
egan,1
auction,47
consumer-ori,8
dollar,232
except,120
625,5
hertz,3
used-car,9
megastor,2
jordan,4
repair,31
led,222
squeez,45
unfavor,4
cost-sav,3
parri,2
enterpris,89
540,9
muscl,26
1999,47
anytim,7
allay,12
saudi,16
fat,12
fairfax,12
job,249
bp,8
magic,9
arabia,12
lucio,2
incom,190
excel,51
streamlin,23
760,10
wonder,32
1.3,48
mcdonald,14
noto,1
fundament,98
herold,1
star,60
intrigu,7
jack,35
reap,33
aydin,1
raw,47
300,168
easi,56
figur,335
outperform,27
salad,2
mother,40
drive-up,1
section,41
popular,150
spice,4
bypass,12
titl,44
nuisanc,3
slice,20
trend,132
eacho,1
chicken,22
mix,85
meat,24
minut,51
fresh,73
oven,3
grew,77
social,114
atlant,49
fleme,26
shopper,14
aisl,3
window,101
meal,10
sandwich,6
shelf,14
mustard,3
demand,398
18-to-24,1
bake,5
barbecu,2
ingredi,6
lambert,7
shrink,27
harri,39
poupon-bas,1
distributor,29
basic,150
studi,140
cook,13
america,250
gray,6
wander,2
envis,3
grey,15
ought,13
1.6,45
soda,2
stauth,1
space,81
besieg,2
appetit,8
kind,124
increment,8
dessert,2
ready-mad,3
cooki,2
2005.,6
poupon,1
peg,14
arm,174
cheesecak,1
2005,8
powder,15
oreo,1
foodservic,1
whip,6
project,277
satisfi,39
mckinsey,3
plethora,4
anymor,14
scratch,10
2.375,7
8.65,1
94.50,1
outbid,1
lob,2
philaelphia-bas,1
95-1/4,1
2-1/4,5
simpli,55
16.,6
attorney,61
pursuant,1
est,27
steril,1
dec.,50
unawar,10
caus,201
vancouver-bas,21
2.9,20
funer,8
unwant,8
hisiro,1
knowledg,34
tend,45
quick,52
pennyslvania,1
13,138
voter,31
canadian,191
scuttl,4
loewen,5
wolitz,1
thwart,7
divest,17
stretch,45
usag,23
co-head,1
probe,43
univers,122
denni,25
school,58
geni,3
rare,35
corp-loewen,1
preced,14
north,233
derail,7
fewer,36
wharton,3
mount,48
hawaii,5
let,108
seven,219
investig,125
yao,2
controversi,73
port,65
interven,18
83,12
jersey,18
definit,83
collpas,1
catapult,4
privately-held,2
earmark,14
175,13
ceo,27
expans,151
element,43
forthcom,15
petrochem,7
ky.-bas,1
46.75,2
authoris,31
prioriti,64
repurchas,20
wide-rang,15
expenditur,54
jan.,28
watcher,15
tax,223
hand,275
mining-geolog,1
tell,100
valentin,2
gem,6
draft,54
sack,21
depart,230
struggl,149
terra,3
wrangl,21
turmoil,16
ar,6
ministri,207
preciou,11
object,84
russian,70
almazi,4
metal,115
caught,35
cartel,19
muddl,1
leav,198
strict,27
diamond-rich,1
yevgeni,6
edg,80
produc,326
bicker,3
bori,29
februari,164
beer,43
admit,65
influenc,89
delay,147
manoeuv,1
readi,86
piskunov,1
mine,107
bychkov,2
drafter,2
worri,119
geolog,11
alway,115
deposit,116
arkhangelsk,2
goskhran,1
whose,181
yeltsin,14
memorandum,19
absenc,18
pore,1
export,228
shake-up,9
princip,36
polic,105
moscow,48
ye,37
rossii-sakha,4
vladimir,24
unspecifi,10
committe,176
foreign,468
conspir,27
stone,14
drag,47
long-delay,14
disband,11
kept,95
sole,37
logunov,2
1.38,11
goodby,2
person,252
five-year,48
south,212
fulfil,21
polish,8
decre,20
output,99
komdragmet,3
impati,5
hit,312
revolv,6
african,45
vishnikova,1
london-bas,30
somebodi,21
inspector,11
breach,28
fine,69
organis,187
mayb,50
correspond,27
text,24
australian,168
hundr,86
infight,2
kovylin,1
russia-d,1
shock,45
pavel,16
alleg,77
rough,20
windfal,18
leak,29
irregular,36
prosecutor,27
comfort,51
ambiti,49
nascent,8
natalya,1
currenc,132
africa,53
deputi,130
crimin,63
shut,62
unpaid,15
379,2
variou,70
uncut,1
undergo,29
argyl,1
85,44
spanner,1
oblig,35
siberia,12
chaplin,1
throw,36
bodi,149
main,283
mineral-rich,1
hoar,14
indict,22
yakutia,2
diamond-produc,1
handl,110
bigger,72
production-shar,10
tack,4
6.3,48
arrear,7
slide,51
6.1,17
stabilis,49
shashenkov,2
tariff,43
slip,95
