X,Y
B,a
A,c
A,a
B,a
A,c
C,e
B,b
A,b
B,a
A,a
C,a
B,b
A,b
C,e
B,c
A,d
A,a
B,a
A,c
C,b
A,b
C,b
A,c
B,a
A,c
C,d
A,b
A,a
B,a
B,a
A,c
D,a
A,c
A,c
A,c
C,a
C,a
C,a
B,a
C,e
B,a
A,b
C,e
B,a
B,a
A,c
B,d
A,a
A,c
A,c
C,e
C,b
B,b
B,a
A,c
C,c
C,c
C,d
B,a
B,b
B,d
C,d
C,e
C,e
B,a
C,b
C,a
C,b
A,d
B,a
A,c
A,c
A,a
A,c
A,c
B,a
B,b
C,c
A,c
